window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,42,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,43,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,43,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,44,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,44,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,42,random,has_news,290,0.29746369113946736,0.3128883660580435,0.30344827586206896
1,42,random,no_news,310,0.32887934179463113,0.33746600692772416,0.35161290322580646
1,43,random,has_news,290,0.3093594348659004,0.3189223457471749,0.3275862068965517
1,43,random,no_news,310,0.31136050417841715,0.32263816482772584,0.3258064516129032
1,44,random,has_news,290,0.31978781332466216,0.32961001319716304,0.33448275862068966
1,44,random,no_news,310,0.32164021164021167,0.3433631797742092,0.32903225806451614
1,42,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,42,logreg_price,no_news,310,0.32264290241473215,0.3622166856260192,0.5161290322580645
1,43,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,43,logreg_price,no_news,310,0.32264290241473215,0.3622166856260192,0.5161290322580645
1,44,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,44,logreg_price,no_news,310,0.32264290241473215,0.3622166856260192,0.5161290322580645
1,42,logreg_price_sentiment,has_news,290,0.2651645909278636,0.2958342465918118,0.4103448275862069
1,42,logreg_price_sentiment,no_news,310,0.3330436548832289,0.3678219077063371,0.5193548387096775
1,43,logreg_price_sentiment,has_news,290,0.2651645909278636,0.2958342465918118,0.4103448275862069
1,43,logreg_price_sentiment,no_news,310,0.3330436548832289,0.3678219077063371,0.5193548387096775
1,44,logreg_price_sentiment,has_news,290,0.2651645909278636,0.2958342465918118,0.4103448275862069
1,44,logreg_price_sentiment,no_news,310,0.3330436548832289,0.3678219077063371,0.5193548387096775
1,42,lstm_price,has_news,290,0.2909592968603121,0.34033374857693516,0.4793103448275862
1,42,lstm_price,no_news,310,0.3636153722343969,0.3881223727338921,0.5193548387096775
1,43,lstm_price,has_news,290,0.34728966368282466,0.36571771018586086,0.4724137931034483
1,43,lstm_price,no_news,310,0.3667314627000226,0.38826311393989305,0.5193548387096775
1,44,lstm_price,has_news,290,0.2793614540122605,0.3335085864793354,0.4793103448275862
1,44,lstm_price,no_news,310,0.348167628228982,0.3823008046674902,0.5290322580645161
1,42,lstm_price_sentiment,has_news,290,0.27284333614100026,0.32456004061803784,0.46551724137931033
1,42,lstm_price_sentiment,no_news,310,0.31351439001532516,0.3642766250956691,0.5225806451612903
1,43,lstm_price_sentiment,has_news,290,0.351900087821893,0.35213813462216065,0.4103448275862069
