arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16271409025352399,0.02861242753517932,0.33333333333333326,5.551115123125783e-17,0.32699999999999996,0.0727125237569919,,,,,,,,,,,,,,
random,0.3240145243627082,0.020943436488945477,0.3291446236830611,0.021573372135898074,0.3277777777777778,0.019009419367549293,,,,,,,,,,,,,,
logreg_price,0.3403270874643042,0.0227295202605629,0.3686897195260837,0.017078742993362983,0.397,0.0535661584709351,0.5475349583720652,0.011234508991506912,,,,,,,,,,,,
logreg_price_sentiment,0.3377158534430552,0.010412257844447898,0.36237223555514486,0.011911788520914375,0.3886666666666666,0.05754611677216417,0.5416759068710336,0.01011956191989058,,,,,,,,,,,,
lstm_price,0.339901434136651,0.018610738971183663,0.36257023400540195,0.008649261868693081,0.3948888888888889,0.054945989192979876,0.547729059725446,0.016205904167214184,,,,,,,,,,,,
lstm_price_sentiment,0.34390391912286666,0.01885128135387398,0.36295567885810925,0.008524251672809128,0.39599999999999996,0.05082941697117556,0.547988203093212,0.011612829711643933,,,,,,,,,,,,
tft_price,0.33788546448775875,0.028623308163519573,0.359266665525398,0.018179054232691116,0.383,0.0340707325253628,0.5386455358250217,0.015759464208124175,,,,,,,,,,,,
tft_price_sentiment,0.3389049220520937,0.01869161545446686,0.35462708992498565,0.010366902724827935,0.37922222222222224,0.03166296274634678,0.5384439298948123,0.011497666457829184,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,-0.0026112340212488426,,-0.00631748397093893,,-0.008333333333333314,,,,-0.01720261518377477,0.009782133964901107,-0.013243028652307958,0.007239402746747609,-0.018269107451858002,0.003256384234532095,-0.015792191784355255,0.002269651287487771,-0.019666666666666645,-0.00033333333333331885,-0.01799999999999999,2.249448457364154e-17
DELTA lstm_price_sentiment__minus__lstm_price,0.004002484986215626,,0.0003854448527072063,,0.0011111111111111183,,,,0.0006745190468984586,0.007330450925532794,-0.0044222991323509915,0.012279490795848832,-0.0022019876705867357,0.002794016297388002,-0.007181268957765248,0.00810749532387319,-0.004555555555555546,0.00822222222222222,-0.006555555555555548,0.008669444444444452
DELTA tft_price_sentiment__minus__tft_price,0.001019457564334958,,-0.00463957560041226,,-0.00377777777777778,,,,-0.013790903793058884,0.016977943664697116,-0.0107770544772831,0.012240993784894239,-0.009250125338122982,0.0006896835799191342,-0.016406201655781487,0.006327798181671015,-0.008999999999999998,0.0015555555555555544,-0.01577777777777777,0.007891666666666661
