arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16271409025352399,0.02861242753517932,0.33333333333333326,5.551115123125783e-17,0.32699999999999996,0.0727125237569919,,,,,,,,,,,,,,
random,0.3240145243627082,0.020943436488945477,0.3291446236830611,0.021573372135898074,0.3277777777777778,0.019009419367549293,,,,,,,,,,,,,,
logreg_price,0.3403270874643042,0.0227295202605629,0.3686897195260837,0.017078742993362983,0.397,0.0535661584709351,0.5475349583720652,0.011234508991506912,,,,,,,,,,,,
logreg_price_sentiment,0.3442152626069112,0.013754652719542917,0.3677624318936314,0.011459610399956972,0.3933333333333333,0.05217491947499508,0.5392016569697915,0.008479331024690943,,,,,,,,,,,,
lstm_price,0.339901434136651,0.018610738971183663,0.36257023400540195,0.008649261868693081,0.3948888888888889,0.054945989192979876,0.547729059725446,0.016205904167214184,,,,,,,,,,,,
lstm_price_sentiment,0.34700259363611413,0.020184373935435096,0.3606901910889214,0.014765722471391225,0.38066666666666665,0.037117431264888257,0.5432240016627652,0.01169228340577536,,,,,,,,,,,,
tft_price,0.33788546448775875,0.028623308163519573,0.359266665525398,0.018179054232691116,0.383,0.0340707325253628,0.5386455358250217,0.015759464208124175,,,,,,,,,,,,
tft_price_sentiment,0.33813847290031956,0.019645556805593774,0.3527320754264155,0.01387003997381505,0.3705555555555555,0.033030102245088316,0.5306269443830144,0.015036639023012943,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.0038881751426071086,,-0.0009272876324522672,,-0.00366666666666664,,,,-0.007577421483808444,0.013752475897405182,-0.007429068746703421,0.015353906609454649,-0.009758684620908353,0.00790410935600382,-0.010969685522920908,0.008630488622493559,-0.012666666666666649,0.0070000000000000505,-0.013999999999999988,0.006000000000000016
DELTA lstm_price_sentiment__minus__lstm_price,0.007101159499463083,,-0.0018800429164805843,,-0.014222222222222225,,,,-0.008802092263133447,0.02930285256192323,-0.002985848766422792,0.01706209241069849,-0.010579575950585384,0.007070301218169395,-0.011114451512386325,0.007703159013542576,-0.03488888888888889,0.001777777777777778,-0.024333333333333318,-0.004441666666666645
DELTA tft_price_sentiment__minus__tft_price,0.00025300841256081785,,-0.006534590098982463,,-0.01244444444444447,,,,-0.020274171165824906,0.01903188511840495,-0.011890788400845401,0.011827648012089654,-0.016080530187075625,0.003011349989110701,-0.018385738559214004,0.004591069324635093,-0.020111111111111146,-0.00344444444444445,-0.024222222222222232,-0.001000000000000023
