arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16271409025352399,0.02861242753517932,0.33333333333333326,5.551115123125783e-17,0.32699999999999996,0.0727125237569919,,,,,,,,,,,,,,
random,0.3240145243627082,0.020943436488945477,0.3291446236830611,0.021573372135898074,0.3277777777777778,0.019009419367549293,,,,,,,,,,,,,,
logreg_price,0.3403270874643042,0.0227295202605629,0.3686897195260837,0.017078742993362983,0.397,0.0535661584709351,0.5475349583720652,0.011234508991506912,,,,,,,,,,,,
logreg_price_sentiment,0.33955712745091343,0.00715519384937597,0.36317718355925244,0.007416167525252977,0.389,0.05591263025669801,0.5382336359272917,0.009445020106066772,,,,,,,,,,,,
lstm_price,0.339901434136651,0.018610738971183663,0.36257023400540195,0.008649261868693081,0.3948888888888889,0.054945989192979876,0.547729059725446,0.016205904167214184,,,,,,,,,,,,
lstm_price_sentiment,0.3433604779878976,0.017205048422090436,0.35894913126535344,0.012149647268202607,0.3881111111111112,0.046135335002603695,0.5426546094470166,0.013315056121045908,,,,,,,,,,,,
tft_price,0.33788546448775875,0.028623308163519573,0.359266665525398,0.018179054232691116,0.383,0.0340707325253628,0.5386455358250217,0.015759464208124175,,,,,,,,,,,,
tft_price_sentiment,0.3263434176776277,0.017988112197740103,0.3440723785564488,0.014862344098496882,0.3582222222222223,0.028287326482122226,0.5261745409796501,0.014550260610947836,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,-0.0007699600133906359,,-0.0055125359668313,,-0.008000000000000007,,,,-0.015619466763753032,0.013594601670104156,-0.013802285990343612,0.011736729289834795,-0.017362722480722792,0.006064074517386031,-0.017158191660631268,0.0055501266774738945,-0.018666666666666675,0.002666666666666662,-0.019666666666666652,0.0029999999999999814
DELTA lstm_price_sentiment__minus__lstm_price,0.0034590438512464793,,-0.0036211027400485096,,-0.0067777777777777715,,,,-0.0034393158490068966,0.011068207313334123,-0.006156234180935759,0.013496044823037156,-0.009476774478265526,0.0022265399367278026,-0.01284770286513534,0.005401369329930573,-0.01799999999999998,0.005111111111111099,-0.016111111111111086,0.002777777777777757
DELTA tft_price_sentiment__minus__tft_price,-0.011542046810131013,,-0.015194286968949233,,-0.024777777777777787,,,,-0.025061243501942065,0.008393124912279736,-0.02414255397699078,0.0017547149544666857,-0.02541232171001403,-0.0022751684296059118,-0.028047472441492763,-0.002406612287506399,-0.032999999999999995,-0.017111111111111132,-0.03766666666666666,-0.011774999999999971
