window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,290,0.10789980732177264,0.3333333333333333,0.19310344827586207
1,42,majority,no_news,310,0.11847922192749778,0.3333333333333333,0.2161290322580645
1,43,majority,has_news,290,0.10789980732177264,0.3333333333333333,0.19310344827586207
1,43,majority,no_news,310,0.11847922192749778,0.3333333333333333,0.2161290322580645
1,44,majority,has_news,290,0.10789980732177264,0.3333333333333333,0.19310344827586207
1,44,majority,no_news,310,0.11847922192749778,0.3333333333333333,0.2161290322580645
1,42,random,has_news,290,0.2888289534778639,0.2990079365079365,0.3
1,42,random,no_news,310,0.31168682732603553,0.3277373371415447,0.3258064516129032
1,43,random,has_news,290,0.2799647002113537,0.27843915343915343,0.30344827586206896
1,43,random,no_news,310,0.2874502151921507,0.29985848864389886,0.2967741935483871
1,44,random,has_news,290,0.31673793093716046,0.33015873015873015,0.3275862068965517
1,44,random,no_news,310,0.3525014934289128,0.37992872569394276,0.3548387096774194
1,42,logreg_price,has_news,290,0.313148527370432,0.3546957671957672,0.4793103448275862
1,42,logreg_price,no_news,310,0.3312697799144783,0.3721029995221213,0.5129032258064516
1,43,logreg_price,has_news,290,0.313148527370432,0.3546957671957672,0.4793103448275862
1,43,logreg_price,no_news,310,0.3312697799144783,0.3721029995221213,0.5129032258064516
1,44,logreg_price,has_news,290,0.313148527370432,0.3546957671957672,0.4793103448275862
1,44,logreg_price,no_news,310,0.3312697799144783,0.3721029995221213,0.5129032258064516
1,42,logreg_price_sentiment,has_news,290,0.34518302109820853,0.3765211640211639,0.4793103448275862
1,42,logreg_price_sentiment,no_news,310,0.3300565723152244,0.36999588802080446,0.5129032258064516
1,43,logreg_price_sentiment,has_news,290,0.34518302109820853,0.3765211640211639,0.4793103448275862
1,43,logreg_price_sentiment,no_news,310,0.3300565723152244,0.36999588802080446,0.5129032258064516
1,44,logreg_price_sentiment,has_news,290,0.34518302109820853,0.3765211640211639,0.4793103448275862
1,44,logreg_price_sentiment,no_news,310,0.3300565723152244,0.36999588802080446,0.5129032258064516
1,42,lstm_price,has_news,290,0.3268358060927721,0.36441798941798936,0.4896551724137931
1,42,lstm_price,no_news,310,0.32771018655178374,0.36683003448876245,0.5064516129032258
1,43,lstm_price,has_news,290,0.3066907775768535,0.362037037037037,0.49310344827586206
1,43,lstm_price,no_news,310,0.3102218328864821,0.3603408867798017,0.5064516129032258
1,44,lstm_price,has_news,290,0.30222727180333164,0.36071428571428577,0.496551724137931
1,44,lstm_price,no_news,310,0.3056185437137818,0.3595851716843926,0.5096774193548387
1,42,lstm_price_sentiment,has_news,290,0.3160718976321813,0.3548941798941799,0.46206896551724136
1,42,lstm_price_sentiment,no_news,310,0.32855802814953144,0.35644154506692155,0.4806451612903226
1,43,lstm_price_sentiment,has_news,290,0.3089713780899576,0.34761904761904766,0.46206896551724136
1,43,lstm_price_sentiment,no_news,310,0.34542386149409937,0.37166994513656587,0.5
1,44,lstm_price_sentiment,has_news,290,0.33944779583724816,0.3682539682539682,0.4724137931034483
1,44,lstm_price_sentiment,no_news,310,0.3395858444384355,0.363231126571165,0.4870967741935484
1,42,tft_price,has_news,290,0.29057329548982186,0.33789682539682536,0.4517241379310345
1,42,tft_price,no_news,310,0.2913391893974418,0.33894081343098353,0.4645161290322581
1,43,tft_price,has_news,290,0.2927243140007321,0.34351851851851856,0.46551724137931033
1,43,tft_price,no_news,310,0.2530933996963218,0.3114976124589265,0.45161290322580644
1,44,tft_price,has_news,290,0.3544988018375286,0.35535714285714287,0.39655172413793105
1,44,tft_price,no_news,310,0.36225109827404633,0.37433680443649214,0.41935483870967744
1,42,tft_price_sentiment,has_news,290,0.3213622531185016,0.38492063492063494,0.3896551724137931
1,42,tft_price_sentiment,no_news,310,0.31106416125142716,0.3416828737918746,0.41935483870967744
1,43,tft_price_sentiment,has_news,290,0.34567855895631583,0.3711640211640212,0.40344827586206894
1,43,tft_price_sentiment,no_news,310,0.3406227302617259,0.3474292721055927,0.43870967741935485
1,44,tft_price_sentiment,has_news,290,0.3224424505539109,0.33664021164021163,0.3620689655172414
1,44,tft_price_sentiment,no_news,310,0.342782182898462,0.349453403125845,0.3935483870967742
2,42,majority,has_news,313,0.14630091438071488,0.3333333333333333,0.28115015974440893
2,42,majority,no_news,287,0.15508021390374332,0.3333333333333333,0.30313588850174217
2,43,majority,has_news,313,0.14630091438071488,0.3333333333333333,0.28115015974440893
2,43,majority,no_news,287,0.15508021390374332,0.3333333333333333,0.30313588850174217
2,44,majority,has_news,313,0.14630091438071488,0.3333333333333333,0.28115015974440893
2,44,majority,no_news,287,0.15508021390374332,0.3333333333333333,0.30313588850174217
2,42,random,has_news,313,0.326600308093376,0.3316498316498317,0.329073482428115
2,42,random,no_news,287,0.33587494381484245,0.3354511867442902,0.33797909407665505
2,43,random,has_news,313,0.31407138136839013,0.31637806637806637,0.31629392971246006
2,43,random,no_news,287,0.3887743615412367,0.3899649201373339,0.3902439024390244
