arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.160224975836921,0.02722547097857731,0.33333333333333326,5.551115123125783e-17,0.31999999999999995,0.0674948557710553,,,,,,,,,,,,,,
random,0.32467833846516225,0.02419210232536345,0.3292465095533338,0.02238373728694021,0.3296666666666666,0.02367370787275294,,,,,,,,,,,,,,
logreg_price,0.3569784699267537,0.035495146160426955,0.3840628477325067,0.019935718357990396,0.424,0.03939261070020338,0.5699031997339999,0.014452107400282858,,,,,,,,,,,,
logreg_price_sentiment,0.3750252884811806,0.03631023660229493,0.3977152684780011,0.02441440631657846,0.4353333333333333,0.02779688231918585,0.5721452286130779,0.014111155751533534,,,,,,,,,,,,
lstm_price,0.3668076360370108,0.022296489648719487,0.37686209618772626,0.019832455503150992,0.4153333333333333,0.0470350539097841,0.5618567462011314,0.027900852453059132,,,,,,,,,,,,
lstm_price_sentiment,0.3769560802862447,0.019747338540987328,0.38408622396018105,0.02077524243271995,0.4153333333333334,0.041209491894734905,0.5645804510470566,0.03044696204608961,,,,,,,,,,,,
tft_price,0.3604460342209689,0.03180721938708724,0.3759249345889307,0.02406549032923794,0.40477777777777774,0.04565111927826111,0.5530031721982033,0.024040885839317974,,,,,,,,,,,,
tft_price_sentiment,0.35944836911426603,0.03410189298320613,0.3729002802690541,0.02425860075304358,0.397,0.03614374593716554,0.5480862534718401,0.027780546700834814,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.018046818554426892,,0.013652420745494276,,0.01133333333333334,,,,0.010923030212665275,0.026394391643519022,0.008064566884434144,0.028713408140762745,0.007383016135685006,0.02233717006924981,0.004973194268588943,0.02249864892783568,2.2204460492503132e-17,0.02400000000000003,0.0029999999999999805,0.019666666666666686
DELTA lstm_price_sentiment__minus__lstm_price,0.010148444249233923,,0.007224127772454791,,-3.3306690738754695e-17,,,,0.0054479605044144615,0.014714033362195733,0.00039804393337309414,0.01980885957913026,0.0030567193138296587,0.011391536231079923,-0.0015797839596020237,0.016375763991687557,-0.011444444444444457,0.01144444444444439,-0.009111111111111124,0.00888888888888889
DELTA tft_price_sentiment__minus__tft_price,-0.0009976651067028163,,-0.003024654319876474,,-0.007777777777777772,,,,-0.01205859880851109,0.010063268595105456,-0.013568583160272303,0.011274971643161085,-0.008091000258229564,0.0026095904077722554,-0.014926495643524593,0.008589064289070995,-0.022888888888888858,0.006222222222222207,-0.020222222222222218,0.0038888888888888857
