arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.160224975836921,0.02722547097857731,0.33333333333333326,5.551115123125783e-17,0.31999999999999995,0.0674948557710553,,,,,,,,,,,,,,
random,0.32467833846516225,0.02419210232536345,0.3292465095533338,0.02238373728694021,0.3296666666666666,0.02367370787275294,,,,,,,,,,,,,,
logreg_price,0.3569784699267537,0.035495146160426955,0.3840628477325067,0.019935718357990396,0.424,0.03939261070020338,0.5699031997339999,0.014452107400282858,,,,,,,,,,,,
logreg_price_sentiment,0.374631166343606,0.01442809712304712,0.3917303200289951,0.012000332980093013,0.4253333333333334,0.03581433604950211,0.5650439079205983,0.009470818741527977,,,,,,,,,,,,
lstm_price,0.3668076360370108,0.022296489648719487,0.37686209618772626,0.019832455503150992,0.4153333333333333,0.0470350539097841,0.5618567462011314,0.027900852453059132,,,,,,,,,,,,
lstm_price_sentiment,0.3903324213513986,0.019890946442212433,0.3947816883196888,0.019465717752326236,0.42411111111111116,0.03266477696726228,0.5649585696747013,0.02135961908535386,,,,,,,,,,,,
tft_price,0.3604460342209689,0.03180721938708724,0.3759249345889307,0.02406549032923794,0.40477777777777774,0.04565111927826111,0.5530031721982033,0.024040885839317974,,,,,,,,,,,,
tft_price_sentiment,0.37569972122596057,0.01963121879476791,0.3846325024973345,0.017388022857482633,0.4046666666666667,0.027676705006196095,0.5553594799700086,0.02417393360762269,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.017652696416852177,,0.007667472296488409,,0.001333333333333353,,,,-0.002052414387391699,0.0386786109437459,0.003033710031958063,0.033294066962490355,-0.0037174253748320065,0.01821502745706415,-0.0053250545172503615,0.021166001961739903,-0.007666666666666622,0.010333333333333328,-0.009999999999999986,0.01400833333333332
DELTA lstm_price_sentiment__minus__lstm_price,0.023524785314387862,,0.017919592131962557,,0.008777777777777728,,,,0.01808863627849854,0.03086990907715287,0.010880413886035287,0.03597843842193691,0.010669364817355398,0.026784909526184918,0.006672255534308375,0.02928679058373325,-0.005222222222222283,0.024130555555555402,-0.002113888888888919,0.02000277777777777
DELTA tft_price_sentiment__minus__tft_price,0.0152536870049918,,0.00870756790840389,,-0.00011111111111110628,,,,0.009113792099468766,0.02095174653833367,0.001719569393672854,0.029183799632797214,0.0005500898541873744,0.016865045962620406,-0.003921187405886314,0.022193525515780622,-0.01699999999999997,0.010999999999999989,-0.013444444444444424,0.013777777777777778
