arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.15729155668602807,0.020736097225931872,0.33333333333333326,5.551115123125783e-17,0.31100000000000005,0.05422791409105338,,,,,,,,,,,,,,
random,0.33458300917631084,0.01593976450989112,0.3408145441493278,0.015440463267345673,0.33888888888888885,0.014778195482818442,,,,,,,,,,,,,,
logreg_price,0.3518204797142919,0.030313984107191598,0.3763811927298877,0.022416015967343928,0.415,0.048016200969626444,0.5584874780422949,0.013175645443778559,,,,,,,,,,,,
logreg_price_sentiment,0.36726702944063644,0.028347971645996735,0.387046447944712,0.0225243076829184,0.422,0.04370863123508267,0.5576314623352335,0.01525262111797741,,,,,,,,,,,,
lstm_price,0.38386669737638285,0.014007501729568456,0.3917538254670456,0.011134299218079529,0.4246666666666667,0.039187110503705554,0.5727576902936165,0.01863357643944101,,,,,,,,,,,,
lstm_price_sentiment,0.3823933786532193,0.025632583920259692,0.39072293544448927,0.0190544955597096,0.42377777777777775,0.03920254463900066,0.5727352031322531,0.02146006572782898,,,,,,,,,,,,
tft_price,0.35946726181732147,0.028992165832124786,0.3767224018219428,0.025648514637912772,0.4110000000000001,0.04417473720813071,0.564253120848505,0.013562736538644343,,,,,,,,,,,,
tft_price_sentiment,0.3596203219708857,0.014780940428532672,0.3707871910360254,0.016138992634002487,0.39811111111111114,0.043315665914080634,0.5540088578534842,0.014675239025868012,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.015446549726344617,,0.01066525521482431,,0.007000000000000006,,,,0.010531492329266789,0.020361607123422443,0.002073897777111704,0.022049854435446124,0.007914651911844695,0.013415858517803924,-0.000718949578183653,0.016550219817126576,0.002333333333333365,0.011666666666666659,-0.001666666666666651,0.015666666666666718
DELTA lstm_price_sentiment__minus__lstm_price,-0.0014733187231636413,,-0.0010308900225562301,,-0.0008888888888888946,,,,-0.012220651080981183,0.011679346208657316,-0.011411306019953351,0.009689359656357257,-0.00982804364796661,0.008536893486488405,-0.010794719034948766,0.00912010755135665,-0.006888888888888911,0.005111111111111155,-0.010888888888888839,0.008669444444444473
DELTA tft_price_sentiment__minus__tft_price,0.00015306015356417735,,-0.005935210785917367,,-0.012888888888888884,,,,-0.016065987947290715,0.01531722963261285,-0.016496117253741976,0.009477842795407893,-0.01988325635490924,0.009001064371472023,-0.022414471534533548,0.002680542432410749,-0.024777777777777742,-0.001000000000000023,-0.025111111111111084,-0.00011111111111106187
