arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.14527289471025734,0.026391809811576412,0.33333333333333326,5.551115123125783e-17,0.28200000000000003,0.06677823996882017,,,,,,,,,,,,,,
random,0.3289382820929338,0.01840199226755298,0.33434191201231633,0.017453267734962506,0.33388888888888885,0.017370330885211387,,,,,,,,,,,,,,
logreg_price,0.35509156436706296,0.028148772338583854,0.3791845135438271,0.02001840635046408,0.4219999999999999,0.05044689176638029,0.5600683302144377,0.013616167077861353,,,,,,,,,,,,
logreg_price_sentiment,0.366654879250776,0.025049690156205028,0.38719360300736216,0.018107087406682727,0.42699999999999994,0.044514666746540456,0.5569978250082206,0.01726959313176793,,,,,,,,,,,,
lstm_price,0.37562854352521635,0.032101153485484604,0.3915322684104778,0.01845957277871754,0.43411111111111117,0.04899307081266004,0.571359499318118,0.021232940034609734,,,,,,,,,,,,
lstm_price_sentiment,0.3869352107854513,0.02718908173845203,0.39528115850714973,0.024474685876935017,0.4244444444444445,0.034926731069624545,0.5655439321804528,0.01910675991141812,,,,,,,,,,,,
tft_price,0.3618944895202291,0.03522561017696123,0.3775620620995101,0.026416072912633405,0.41233333333333316,0.04769812481755557,0.5595657961320525,0.022725421257080495,,,,,,,,,,,,
tft_price_sentiment,0.3596747277759595,0.02007108935279825,0.3732651423069858,0.01611065594663877,0.39355555555555555,0.028763831884701288,0.552719035573334,0.013626598168272433,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.011563314883713139,,0.008009089463535058,,0.004999999999999993,,,,0.0024592514682570178,0.02066737829916926,-0.002941848704527342,0.019598379619761262,0.0013895938537839881,0.016475990433641553,-0.004022182187669187,0.015238815191489077,-0.0006666666666666932,0.015000000000000013,-0.0046666666666665985,0.014000000000000016
DELTA lstm_price_sentiment__minus__lstm_price,0.011306667260234892,,0.003748890096671931,,-0.009666666666666657,,,,-0.0036476701188142948,0.02626100463928408,-0.015293514482019674,0.012018907386691324,-0.0046452134184934435,0.012385183845637072,-0.01966068440535057,0.006393077397082744,-0.03411111111111107,0.011666666666666669,-0.023333333333333317,0.0028972222222222264
DELTA tft_price_sentiment__minus__tft_price,-0.002219761744269644,,-0.004296919792524212,,-0.018777777777777782,,,,-0.025775401963350854,0.021335878474811564,-0.023767571500945307,0.0017735572193654724,-0.021342252321258758,0.012464250509004238,-0.02815802730474634,-0.003221333773758827,-0.041666666666666664,0.005111111111111099,-0.03177777777777768,-0.006552777777777721
