window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,42,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,43,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,43,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,44,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,44,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,42,random,has_news,284,0.35885565860106955,0.3860551532965326,0.3626760563380282
1,42,random,no_news,316,0.3015935416712808,0.31350690116788993,0.31645569620253167
1,43,random,has_news,284,0.28108980966123825,0.2874061063716236,0.2992957746478873
1,43,random,no_news,316,0.3326513213981244,0.3476258619590568,0.3449367088607595
1,44,random,has_news,284,0.3186137932201114,0.3321404959335994,0.33098591549295775
1,44,random,no_news,316,0.3395470409912576,0.35602068921553753,0.3512658227848101
1,42,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,42,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,43,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,43,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,44,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,44,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,42,logreg_price_sentiment,has_news,284,0.3219591033046691,0.3406496682358751,0.4471830985915493
1,42,logreg_price_sentiment,no_news,316,0.32187261632341724,0.3610468145158631,0.5189873417721519
1,43,logreg_price_sentiment,has_news,284,0.3219591033046691,0.3406496682358751,0.4471830985915493
1,43,logreg_price_sentiment,no_news,316,0.32187261632341724,0.3610468145158631,0.5189873417721519
1,44,logreg_price_sentiment,has_news,284,0.3219591033046691,0.3406496682358751,0.4471830985915493
1,44,logreg_price_sentiment,no_news,316,0.32187261632341724,0.3610468145158631,0.5189873417721519
1,42,lstm_price,has_news,284,0.33433429660342595,0.3624752073027935,0.5
1,42,lstm_price,no_news,316,0.3616129150771105,0.38110845132033333,0.5189873417721519
1,43,lstm_price,has_news,284,0.35365474565474564,0.3597669287324459,0.4471830985915493
1,43,lstm_price,no_news,316,0.38776695556177626,0.3971540238677754,0.5126582278481012
1,44,lstm_price,has_news,284,0.35607999930766504,0.36946893843445566,0.47183098591549294
1,44,lstm_price,no_news,316,0.37538577417468605,0.3933281016787456,0.5158227848101266
1,42,lstm_price_sentiment,has_news,284,0.3149185161941772,0.33443854995579136,0.4507042253521127
1,42,lstm_price_sentiment,no_news,316,0.3694749694749695,0.38310988892625786,0.509493670886076
1,43,lstm_price_sentiment,has_news,284,0.31072971735839,0.33233565130116854,0.4295774647887324
1,43,lstm_price_sentiment,no_news,316,0.36213045360796686,0.37617464933626127,0.5031645569620253
1,44,lstm_price_sentiment,has_news,284,0.34364274742154927,0.3455643972885352,0.3873239436619718
1,44,lstm_price_sentiment,no_news,316,0.34128794498456294,0.35334880847967676,0.4620253164556962
1,42,tft_price,has_news,284,0.3033203670355335,0.3122326570602433,0.4119718309859155
1,42,tft_price,no_news,316,0.3205243378972193,0.3305372557553696,0.4272151898734177
1,43,tft_price,has_news,284,0.3247186412932269,0.348583331341952,0.4788732394366197
1,43,tft_price,no_news,316,0.3477855477855478,0.37363026270379823,0.5158227848101266
1,44,tft_price,has_news,284,0.32044072948328267,0.35152858428720496,0.49295774647887325
1,44,tft_price,no_news,316,0.2970636326748703,0.34371311188926473,0.5031645569620253
1,42,tft_price_sentiment,has_news,284,0.3832193030468893,0.384481962068169,0.46830985915492956
1,42,tft_price_sentiment,no_news,316,0.3210731842088417,0.3458882052567138,0.48417721518987344
1,43,tft_price_sentiment,has_news,284,0.3269644385975903,0.32808803498458666,0.4014084507042254
1,43,tft_price_sentiment,no_news,316,0.2975842165497338,0.33987619882925246,0.4936708860759494
1,44,tft_price_sentiment,has_news,284,0.3894056593799582,0.38922144956627713,0.4507042253521127
1,44,tft_price_sentiment,no_news,316,0.3579911117796078,0.36282843470213644,0.45569620253164556
2,42,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,42,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,43,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,43,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,44,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,44,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,42,random,has_news,313,0.3057831820718419,0.30390515275877794,0.30990415335463256
2,42,random,no_news,287,0.3602484883920735,0.3662184759571448,0.3623693379790941
2,43,random,has_news,313,0.33377994676131323,0.3361222070223438,0.3354632587859425
2,43,random,no_news,287,0.3224691069327624,0.32234569341551783,0.3310104529616725
2,44,random,has_news,313,0.33704671040983597,0.33938349293205655,0.33865814696485624
2,44,random,no_news,287,0.36523369067118644,0.37811837679130456,0.36585365853658536
2,42,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,42,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,43,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,43,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,44,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,44,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,42,logreg_price_sentiment,has_news,313,0.4182655981638976,0.4242517099863201,0.4504792332268371
2,42,logreg_price_sentiment,no_news,287,0.36151571166039953,0.3884173650404765,0.44947735191637633
2,43,logreg_price_sentiment,has_news,313,0.4182655981638976,0.4242517099863201,0.4504792332268371
2,43,logreg_price_sentiment,no_news,287,0.36151571166039953,0.3884173650404765,0.44947735191637633
2,44,logreg_price_sentiment,has_news,313,0.4182655981638976,0.4242517099863201,0.4504792332268371
2,44,logreg_price_sentiment,no_news,287,0.36151571166039953,0.3884173650404765,0.44947735191637633
2,42,lstm_price,has_news,313,0.37002688172043,0.378109135126919,0.3929712460063898
2,42,lstm_price,no_news,287,0.42515447778605675,0.42884364852515117,0.47038327526132406
2,43,lstm_price,has_news,313,0.38651063468936225,0.39349445204438366,0.41214057507987223
2,43,lstm_price,no_news,287,0.3896999839003315,0.3998100941751412,0.445993031358885
2,44,lstm_price,has_news,313,0.4063964125634536,0.4127557379540964,0.43450479233226835
2,44,lstm_price,no_news,287,0.39906750013386966,0.41197087246495173,0.4634146341463415
2,42,lstm_price_sentiment,has_news,313,0.41812050085976865,0.41825262197902413,0.4281150159744409
2,42,lstm_price_sentiment,no_news,287,0.41296135694293534,0.4199721946761555,0.4529616724738676
2,43,lstm_price_sentiment,has_news,313,0.42583397822507374,0.4266326189390485,0.43450479233226835
2,43,lstm_price_sentiment,no_news,287,0.43938127651794306,0.4376519084563184,0.46689895470383275
2,44,lstm_price_sentiment,has_news,313,0.40387971201924683,0.4113050615595075,0.43130990415335463
2,44,lstm_price_sentiment,no_news,287,0.4169263432957701,0.4189967398419829,0.45993031358885017
2,42,tft_price,has_news,313,0.40337314058244295,0.4270904392764858,0.4472843450479233
2,42,tft_price,no_news,287,0.40814867383254966,0.42747444697220116,0.4878048780487805
2,43,tft_price,has_news,313,0.33632408459994667,0.3703863809089527,0.3961661341853035
2,43,tft_price,no_news,287,0.3362526959743637,0.3872960780882382,0.42160278745644597
2,44,tft_price,has_news,313,0.3727083590821077,0.3891491108071135,0.402555910543131
2,44,tft_price,no_news,287,0.3794365243876645,0.4043341305489121,0.4564459930313589
2,42,tft_price_sentiment,has_news,313,0.3902111049543467,0.4003660130718954,0.3993610223642173
2,42,tft_price_sentiment,no_news,287,0.40451360713382023,0.4153088076117884,0.4634146341463415
2,43,tft_price_sentiment,has_news,313,0.31830304986779806,0.3387019303845569,0.33865814696485624
2,43,tft_price_sentiment,no_news,287,0.3747314021487828,0.37176171680050807,0.39372822299651566
2,44,tft_price_sentiment,has_news,313,0.3111611282030289,0.33164736282109747,0.31629392971246006
2,44,tft_price_sentiment,no_news,287,0.3710776817572934,0.37935308872426066,0.41114982578397213
3,42,majority,has_news,299,0.12054794520547946,0.3333333333333333,0.22073578595317725
3,42,majority,no_news,301,0.14409722222222224,0.3333333333333333,0.2757475083056478
3,43,majority,has_news,299,0.12054794520547946,0.3333333333333333,0.22073578595317725
