arm,class,precision,recall,f1
logreg_price,DOWN,0.34994358605362097,0.22266285858341792,0.2628438784075345
logreg_price,FLAT,0.41148139855089255,0.6826038670204473,0.5132706812358458
logreg_price,UP,0.40187116127182715,0.23228681502761603,0.28916013345780833
logreg_price_sentiment,DOWN,0.3795467117363084,0.2355187951102119,0.2812922853560643
logreg_price_sentiment,FLAT,0.4198018305297311,0.6780684730959858,0.5184015241122251
logreg_price_sentiment,UP,0.39385528403851694,0.24799354081588862,0.3002708282840387
lstm_price,DOWN,0.37754907582462666,0.24723630666466428,0.2861642789103396
lstm_price,FLAT,0.43850398214897784,0.6192654779616127,0.5106385001395343
lstm_price,UP,0.3858940035715591,0.30809502060515637,0.33008285152577516
lstm_price_sentiment,DOWN,0.35380428037844625,0.27409684498875986,0.3052332188923413
lstm_price_sentiment,FLAT,0.441547750253023,0.5760335964240227,0.49849868772293987
lstm_price_sentiment,UP,0.3920536042205019,0.3357130341086665,0.3570737257410725
majority,DOWN,0.0,0.0,0.0
majority,FLAT,0.18333333333333332,0.6,0.2784303679795694
majority,UP,0.09866666666666667,0.4,0.15738831615120275
random,DOWN,0.30529610165968946,0.3462762160797189,0.321644939296836
random,FLAT,0.38283018074821357,0.3369696718113891,0.3513413238598725
random,UP,0.3155467522319501,0.31977984814584115,0.313828583122093
tft_price,DOWN,0.34746822620031026,0.22837082845422868,0.254119881612348
tft_price,FLAT,0.4360635336261675,0.5661340943750905,0.4870802466574788
tft_price,UP,0.36733395885652664,0.3381812634692111,0.3444833402908607
tft_price_sentiment,DOWN,0.334398313305144,0.26579553552530316,0.2852189315433165
tft_price_sentiment,FLAT,0.4302405071404655,0.5178223758064735,0.463357769073519
tft_price_sentiment,UP,0.36218957648573263,0.33617751558918096,0.330447482711043
