arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.14527289471025734,0.026391809811576412,0.33333333333333326,5.551115123125783e-17,0.28200000000000003,0.06677823996882017,,,,,,,,,,,,,,
random,0.3289382820929338,0.01840199226755298,0.33434191201231633,0.017453267734962506,0.33388888888888885,0.017370330885211387,,,,,,,,,,,,,,
logreg_price,0.35509156436706296,0.028148772338583854,0.3791845135438271,0.02001840635046408,0.4219999999999999,0.05044689176638029,0.5600683302144377,0.013616167077861353,,,,,,,,,,,,
logreg_price_sentiment,0.3678332303417954,0.027369616763703336,0.3877519312207696,0.021759372114302462,0.42733333333333334,0.04795368135561186,0.5610471331715746,0.01541407212490333,,,,,,,,,,,,
lstm_price,0.37562854352521635,0.032101153485484604,0.3915322684104778,0.01845957277871754,0.43411111111111117,0.04899307081266004,0.571359499318118,0.021232940034609734,,,,,,,,,,,,
lstm_price_sentiment,0.37897918583622625,0.030057870415115456,0.39360995925881936,0.02169031887042485,0.4348888888888888,0.04777441848655403,0.5707533696271826,0.02090826153689025,,,,,,,,,,,,
tft_price,0.3618944895202291,0.03522561017696123,0.3775620620995101,0.026416072912633405,0.41233333333333316,0.04769812481755557,0.5595657961320525,0.022725421257080495,,,,,,,,,,,,
tft_price_sentiment,0.3653980591634682,0.031034375729185323,0.3778066490637648,0.02511870614818165,0.4104444444444445,0.0332858921659605,0.5550897046975768,0.018099344335096836,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.012741665974732374,,0.008567417676942458,,0.005333333333333357,,,,0.004131203391341054,0.01918393626364484,0.0014676600462971618,0.017897878924749536,0.0020638800621974873,0.015124373104249933,-0.0006706223252427188,0.01354831305226223,-0.002333333333333354,0.013000000000000067,-0.0016666666666666496,0.012333333333333307
DELTA lstm_price_sentiment__minus__lstm_price,0.0033506423110098104,,0.002077690848341551,,0.0007777777777777884,,,,-0.006171531618051907,0.01280274058482164,-0.009321453175391042,0.011254833519976715,-0.004945968996296139,0.00960677151651752,-0.008308641798711552,0.010020848187559831,-0.007111111111111112,0.00966666666666669,-0.008222222222222186,0.009555555555555541
DELTA tft_price_sentiment__minus__tft_price,0.003503569643239046,,0.0002445869642547227,,-0.0018888888888888955,,,,-0.014792598880329254,0.026872518539661907,-0.00692136922046655,0.016547925464641244,-0.014335646968074257,0.02102126859342641,-0.01044761460459805,0.012134704076316009,-0.018333333333333323,0.021666666666666657,-0.012891666666666728,0.009225000000000006
