arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.14527289471025734,0.026391809811576412,0.33333333333333326,5.551115123125783e-17,0.28200000000000003,0.06677823996882017,,,,,,,,,,,,,,
random,0.3289382820929338,0.01840199226755298,0.33434191201231633,0.017453267734962506,0.33388888888888885,0.017370330885211387,,,,,,,,,,,,,,
logreg_price,0.35509156436706296,0.028148772338583854,0.3791845135438271,0.02001840635046408,0.4219999999999999,0.05044689176638029,0.5600683302144377,0.013616167077861353,,,,,,,,,,,,
logreg_price_sentiment,0.3631513858804366,0.02374288182036149,0.38428361303214337,0.017486872037989154,0.42366666666666675,0.047062606057132965,0.5546208043264549,0.01820654851283037,,,,,,,,,,,,
lstm_price,0.37562854352521635,0.032101153485484604,0.3915322684104778,0.01845957277871754,0.43411111111111117,0.04899307081266004,0.571359499318118,0.021232940034609734,,,,,,,,,,,,
lstm_price_sentiment,0.3818180233622623,0.03309148640503055,0.39146245928550477,0.0273813126798261,0.4236666666666667,0.04291766449756937,0.5654515126454104,0.022414763443436597,,,,,,,,,,,,
tft_price,0.3618944895202291,0.03522561017696123,0.3775620620995101,0.026416072912633405,0.41233333333333316,0.04769812481755557,0.5595659282954752,0.02272544658359258,,,,,,,,,,,,
tft_price_sentiment,0.3633803392387688,0.029343897922488753,0.37557065321609356,0.021779110890155818,0.3957777777777778,0.027161155996417538,0.549237025749703,0.02511023575490062,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.00805982151337371,,0.005099099488316361,,0.001666666666666683,,,,-0.003874194903864614,0.019993837930612036,-0.003998985990137317,0.01985449427434908,-0.004024084207508749,0.01469214996033441,-0.0048172446619699685,0.014862074657932588,-0.0059999999999999385,0.012333333333333352,-0.007999999999999997,0.011333333333333317
DELTA lstm_price_sentiment__minus__lstm_price,0.006189479837045997,,-6.980912497299707e-05,,-0.010444444444444433,,,,-0.01296952288020431,0.025348482554296302,-0.007310402404652115,0.019833386549150955,-0.013225928594926372,0.013071472862112809,-0.012150514672300142,0.012029677521948556,-0.03266666666666666,0.011777777777777798,-0.023111111111111127,0.0017777777777777447
DELTA tft_price_sentiment__minus__tft_price,0.0014858497185396447,,-0.0019914088834165123,,-0.01655555555555559,,,,-0.02083320734932038,0.027860021854261608,-0.01186871021137907,0.014941986644699546,-0.019236235188783035,0.01849456719346102,-0.014351464760439076,0.010683788258160106,-0.04600000000000002,0.015444444444444372,-0.030222222222222192,-0.003444444444444461
